estudiante_id,grupo,pre_test_score,post_test_score,sesiones_completadas,tiempo_promedio_min
INT_001,Intervencion_Ateneo,4.8,8.6,14,11.5
INT_002,Intervencion_Ateneo,5.2,8.9,16,12.2
INT_003,Intervencion_Ateneo,4.1,8.2,12,10.8
INT_004,Intervencion_Ateneo,5.5,9.1,18,13.0
INT_005,Intervencion_Ateneo,4.6,8.4,15,11.9
INT_006,Intervencion_Ateneo,5.0,8.8,14,12.4
INT_007,Intervencion_Ateneo,3.9,7.9,11,10.2
INT_008,Intervencion_Ateneo,5.8,9.3,19,14.1
INT_009,Intervencion_Ateneo,4.4,8.5,13,11.1
INT_010,Intervencion_Ateneo,5.1,8.7,15,12.0
INT_011,Intervencion_Ateneo,4.7,8.3,14,11.7
INT_012,Intervencion_Ateneo,5.3,9.0,17,12.8
INT_013,Intervencion_Ateneo,4.0,8.1,12,10.5
INT_014,Intervencion_Ateneo,5.6,9.2,18,13.4
INT_015,Intervencion_Ateneo,4.9,8.6,15,12.1
INT_016,Intervencion_Ateneo,4.3,8.0,13,11.0
INT_017,Intervencion_Ateneo,5.4,8.9,16,12.6
INT_018,Intervencion_Ateneo,4.8,8.5,14,11.8
INT_019,Intervencion_Ateneo,5.1,8.8,15,12.3
INT_020,Intervencion_Ateneo,4.5,8.4,14,11.5
INT_021,Intervencion_Ateneo,5.7,9.4,20,14.5
INT_022,Intervencion_Ateneo,4.2,8.2,12,10.9
INT_023,Intervencion_Ateneo,5.0,8.7,15,12.0
INT_024,Intervencion_Ateneo,4.6,8.5,14,11.6
INT_025,Intervencion_Ateneo,5.2,9.0,17,12.7
